GEO_ID,NAME,S2301_C01_001E
55001,"Adams County, Wisconsin",17514
55003,"Ashland County, Wisconsin",12566
55005,"Barron County, Wisconsin",36624
55007,"Bayfield County, Wisconsin",12715
55009,"Brown County, Wisconsin",206100
55011,"Buffalo County, Wisconsin",10785
55013,"Burnett County, Wisconsin",12870
55015,"Calumet County, Wisconsin",39357
55017,"Chippewa County, Wisconsin",51332
55019,"Clark County, Wisconsin",25515
55021,"Columbia County, Wisconsin",46313
55023,"Crawford County, Wisconsin",13315
55025,"Dane County, Wisconsin",437812
55027,"Dodge County, Wisconsin",71794
55029,"Door County, Wisconsin",23616
55031,"Douglas County, Wisconsin",35682
55033,"Dunn County, Wisconsin",36801
55035,"Eau Claire County, Wisconsin",84845
55037,"Florence County, Wisconsin",3703
55039,"Fond du Lac County, Wisconsin",83183
55041,"Forest County, Wisconsin",7392
55043,"Grant County, Wisconsin",42220
55045,"Green County, Wisconsin",29603
55047,"Green Lake County, Wisconsin",15110
55049,"Iowa County, Wisconsin",18839
55051,"Iron County, Wisconsin",4980
55053,"Jackson County, Wisconsin",16542
55055,"Jefferson County, Wisconsin",68941
55057,"Juneau County, Wisconsin",21788
55059,"Kenosha County, Wisconsin",134343
55061,"Kewaunee County, Wisconsin",16554
55063,"La Crosse County, Wisconsin",97122
55065,"Lafayette County, Wisconsin",13162
55067,"Langlade County, Wisconsin",15936
55069,"Lincoln County, Wisconsin",23381
55071,"Manitowoc County, Wisconsin",64901
55073,"Marathon County, Wisconsin",108076
55075,"Marinette County, Wisconsin",33805
55077,"Marquette County, Wisconsin",12662
55078,"Menominee County, Wisconsin",3282
55079,"Milwaukee County, Wisconsin",746106
55081,"Monroe County, Wisconsin",35483
55083,"Oconto County, Wisconsin",31078
55085,"Oneida County, Wisconsin",30022
55087,"Outagamie County, Wisconsin",146727
55089,"Ozaukee County, Wisconsin",71924
55091,"Pepin County, Wisconsin",5902
55093,"Pierce County, Wisconsin",34291
55095,"Polk County, Wisconsin",35371
55097,"Portage County, Wisconsin",58435
55099,"Price County, Wisconsin",11480
55101,"Racine County, Wisconsin",155456
55103,"Richland County, Wisconsin",14086
55105,"Rock County, Wisconsin",128603
55107,"Rusk County, Wisconsin",11539
55109,"St. Croix County, Wisconsin",68927
55111,"Sauk County, Wisconsin",51048
55113,"Sawyer County, Wisconsin",13533
55115,"Shawano County, Wisconsin",33129
55117,"Sheboygan County, Wisconsin",92536
55119,"Taylor County, Wisconsin",16069
55121,"Trempealeau County, Wisconsin",22945
55123,"Vernon County, Wisconsin",23552
55125,"Vilas County, Wisconsin",18581
55127,"Walworth County, Wisconsin",83850
55129,"Washburn County, Wisconsin",13043
55131,"Washington County, Wisconsin",108871
55133,"Waukesha County, Wisconsin",325101
55135,"Waupaca County, Wisconsin",42127
55137,"Waushara County, Wisconsin",20291
55139,"Winnebago County, Wisconsin",139430
55141,"Wood County, Wisconsin",58965
